Player Id,Year,Rushing TDs,Rushing Yards,Rushing Attempts,Fumbles,Team
2556466,2016,1,223,55,0,TB
2552588,2016,0,-2,3,1,GB
2495258,2016,6,402,121,1,MIN
2495258,2015,0,112,29,0,MIN
2495258,2014,9,570,164,1,MIN
2495258,2013,3,166,44,1,MIN
2527672,2016,0,2,2,0,SEA
2527672,2015,1,1,4,1,SEA
2527672,2014,0,2,1,0,SEA
2552600,2016,0,14,5,0,PHI
2535698,2016,0,7,1,0,DAL
2540142,2013,2,4,4,0,NYJ
2536044,2016,2,47,17,0,LV
2536044,2015,1,110,24,0,LV
2536044,2014,0,0,2,0,LV
2536044,2013,0,6,3,0,LV
80429,2016,0,-1,1,0,KC
80429,2015,0,14,3,0,KC
2495979,2016,4,343,98,0,PIT
2495979,2015,11,907,200,3,PIT
2495979,2014,0,219,62,1,CAR
2495979,2013,3,843,201,1,CAR
2533544,2013,0,14,2,0,TB
497145,2016,0,6,3,0,CHI
497145,2015,4,311,90,1,DET
497145,2014,7,860,223,5,DET
497145,2013,8,650,166,4,DET
2556477,2016,0,1,8,0,SEA
2534770,2016,0,105,23,0,HOU
2534770,2015,1,282,56,0,HOU
2534770,2014,0,153,39,0,HOU
2534770,2013,1,73,21,0,HOU
2552578,2015,0,2,1,0,IND
2553743,2015,0,5,2,0,SEA
79589,2015,0,4,2,0,SD
2506109,2016,1,14,16,2,PIT
2506109,2015,0,29,15,1,PIT
2506109,2014,0,27,33,5,PIT
2506109,2013,1,99,27,3,PIT
2505996,2016,0,-9,21,0,NYG
2505996,2015,0,61,20,3,NYG
2505996,2014,1,31,12,0,NYG
2505996,2013,0,36,18,3,NYG
80674,2014,1,50,14,0,CAR
80674,2013,0,240,49,1,CLE
2552461,2016,1,358,73,1,CLE
2552461,2015,0,379,104,0,CLE
2552635,2016,3,460,99,3,WAS
2552635,2015,3,490,144,4,WAS
4263,2013,0,0,2,2,TEN
2550162,2016,0,-6,2,0,CIN
2550162,2014,0,30,3,0,CIN
4433,2016,0,0,2,0,SEA
4433,2015,0,36,10,0,LV
4433,2014,0,85,21,1,LV
4433,2013,2,218,46,0,LV
262,2016,1,95,25,0,ARI
262,2015,3,814,196,2,ARI
262,2014,1,663,155,1,NYJ
262,2013,6,1077,279,2,TEN
768,2013,0,10,1,0,BUF
