Player Id,Year,Team,Side
2495891,2013,NYJ,Offense
2505996,2013,NYG,Offense
2501863,2013,DEN,Offense
1030,2013,SF,Offense
2539228,2013,BUF,Offense
2540212,2013,ATL,Defense
2507918,2013,SEA,Defense
79603,2013,JAX,Defense
2495893,2013,CHI,Offense
2532898,2013,DEN,Defense
2532899,2013,TB,Offense
2541864,2013,KC,Defense
2532900,2013,HOU,Offense
2533543,2013,ARI,Offense
497248,2013,LV,Offense
1037901,2013,IND,Defense
497188,2013,SD,Offense
2540180,2013,ARI,Defense
2506418,2013,PHI,Offense
2505566,2013,IND,Defense
80431,2013,GB,Defense
2532903,2013,MIA,Offense
79852,2013,CIN,Defense
2539294,2013,MIN,Defense
2495310,2013,SEA,Defense
2542009,2013,SEA,Defense
238466,2013,HOU,Defense
2532905,2013,LV,Offense
1037913,2013,ATL,Defense
2495311,2013,HOU,Defense
496814,2013,BAL,Defense
2532907,2013,CHI,Defense
497190,2013,KC,Offense
494287,2013,NE,Defense
89756,2013,TEN,Defense
2505076,2013,CHI,Offense
2506053,2013,NO,Offense
497123,2013,SF,Offense
496816,2013,TB,Defense
79607,2013,PHI,Offense
2540286,2013,JAX,Defense
2533340,2013,TB,Defense
2533340,2013,MIA,Defense
2506816,2013,SEA,Defense
89758,2013,SEA,Defense
2539309,2013,LA,Defense
2540215,2013,SF,Offense
2539243,2013,TB,Defense
2539243,2013,KC,Defense
284,2013,LV,Offense
2539300,2013,CLE,Defense
2539285,2013,LV,Defense
2542065,2013,LV,Offense
2535943,2013,KC,Offense
1298,2013,BUF,Defense
2507590,2013,PIT,Defense
2534832,2013,LA,Defense
494289,2013,CHI,Defense
2541174,2013,IND,Defense
2495201,2013,BAL,Defense
2541310,2013,TB,Defense
2495677,2013,SEA,Defense
2541309,2013,BUF,Defense
2541200,2013,TB,Defense
2533049,2013,HOU,Defense
2539322,2013,SEA,Offense
2540287,2013,NYJ,Defense
2533034,2013,MIA,Offense
79611,2013,JAX,Defense
2495202,2013,DEN,Defense
2540229,2013,CHI,Offense
2541868,2013,CLE,Offense
2540140,2013,CLE,Defense
2540159,2013,ARI,Defense
496820,2013,MIA,Defense
496822,2013,HOU,Defense
238227,2013,CAR,Defense
496825,2013,BUF,Defense
2540138,2013,NYG,Defense
2532917,2013,DET,Offense
2507282,2013,MIA,Offense
2495503,2013,DEN,Defense
2539220,2013,LV,Defense
2531177,2013,DAL,Defense
496828,2013,TEN,Defense
2530790,2013,SEA,Defense
2533457,2013,WAS,Offense
2541629,2013,SF,Defense
2507405,2013,NE,Offense
2541871,2013,GB,Defense
80668,2013,CAR,Defense
2495207,2013,DAL,Offense
89766,2013,NYG,Offense
2539961,2013,NYG,Offense
2507884,2013,NYJ,Offense
1032,2013,GB,Offense
2507167,2013,CIN,Defense
497030,2013,GB,Offense
2505552,2013,CIN,Defense
2495455,2013,CAR,Offense
2495320,2013,HOU,Offense
2506879,2013,BAL,Defense
80672,2013,NYG,Offense
2495920,2013,NE,Defense
2535604,2013,JAX,Offense
2532920,2013,CAR,Defense
496835,2013,MIA,Defense
80674,2013,CLE,Offense
2540143,2013,LA,Defense
81857,2013,DET,Offense
81857,2013,TB,Offense
71419,2013,BAL,Offense
2539319,2013,ARI,Defense
497032,2013,SEA,Offense
2495700,2013,CAR,Offense
2539259,2013,TB,Offense
71423,2013,WAS,Defense
2506481,2013,TB,Offense
2506444,2013,DAL,Offense
2532922,2013,BAL,Offense
2533436,2013,DEN,Offense
2532923,2013,TB,Offense
2495210,2013,CHI,Defense
2533544,2013,TB,Offense
81300,2013,NYG,Offense
2505245,2013,ARI,Offense
2541315,2013,GB,Defense
2530794,2013,KC,Defense
2507728,2013,DAL,Offense
2535837,2013,JAX,Offense
2540145,2013,MIN,Offense
2539250,2013,SF,Offense
2495211,2013,WAS,Offense
2507828,2013,WAS,Offense
2532924,2013,PIT,Offense
2530855,2013,NYG,Defense
79629,2013,CIN,Offense
2506925,2013,CIN,Defense
2506706,2013,TB,Offense
2505010,2013,CHI,Defense
2533048,2013,GB,Defense
2508140,2013,LA,Offense
2508140,2013,SEA,Offense
496841,2013,ATL,Defense
2505827,2013,PHI,Offense
2507164,2013,MIN,Offense
2495504,2013,ARI,Defense
2495212,2013,LA,Offense
71435,2013,SD,Offense
2533545,2013,BAL,Offense
496843,2013,NYG,Defense
497254,2013,BAL,Offense
2532928,2013,HOU,Defense
2533435,2013,KC,Defense
2495215,2013,MIN,Offense
2507471,2013,LV,Defense
2495712,2013,JAX,Defense
497042,2013,PIT,Offense
2495216,2013,MIA,Offense
2495328,2013,NYJ,Offense
80680,2013,ARI,Defense
2539290,2013,CLE,Defense
2539290,2013,PHI,Defense
2539670,2013,IND,Defense
2499249,2013,JAX,Defense
2531332,2013,LV,Offense
2540195,2013,NYG,Offense
2532933,2013,LA,Offense
71441,2013,DET,Defense
2495485,2013,LA,Defense
2534571,2013,TB,Offense
2534571,2013,CLE,Offense
2539234,2013,WAS,Defense
2540171,2013,DAL,Offense
2533533,2013,NYG,Offense
2495218,2013,HOU,Defense
2540160,2013,WAS,Offense
2540152,2013,SF,Defense
2495434,2013,BAL,Offense
2533042,2013,DET,Offense
2535607,2013,MIN,Offense
2535607,2013,SD,Offense
2495717,2013,TB,Defense
2507843,2013,CIN,Defense
2532937,2013,SD,Defense
2541741,2013,JAX,Defense
2540155,2013,MIN,Defense
941,2013,BAL,Offense
2495718,2013,SEA,Offense
2534789,2013,LA,Offense
2540142,2013,NYJ,Defense
2533032,2013,IND,Offense
2533032,2013,CLE,Offense
2540020,2013,DET,Offense
496949,2013,WAS,Defense
2539995,2013,LV,Offense
2506121,2013,SD,Offense
497320,2013,ARI,Offense
2532431,2013,CLE,Defense
2540197,2013,BUF,Defense
2495331,2013,WAS,Offense
2539260,2013,JAX,Offense
2533542,2013,MIN,Defense
2542022,2013,NO,Offense
2508084,2013,NO,Defense
2535842,2013,CIN,Offense
2495723,2013,MIN,Defense
2506363,2013,GB,Offense
2495471,2013,ATL,Offense
306,2013,DEN,Defense
2506109,2013,PIT,Offense
2541635,2013,GB,Defense
2530598,2013,DET,Offense
2530598,2013,GB,Offense
1990,2013,SD,Offense
1344,2013,CLE,Defense
2506908,2013,ARI,Defense
2495438,2013,MIN,Offense
2540162,2013,NE,Defense
310,2013,ATL,Offense
497048,2013,LA,Offense
2507731,2013,BUF,Offense
79858,2013,NYJ,Offense
2540267,2013,JAX,Offense
497322,2013,PIT,Offense
71459,2013,MIN,Defense
2533040,2013,CIN,Offense
2495338,2013,CIN,Offense
2307,2013,DAL,Defense
2495942,2013,DET,Offense
2541521,2013,ATL,Offense
2532945,2013,CLE,Offense
2540216,2013,TEN,Offense
2508054,2013,CAR,Offense
2495227,2013,NYG,Offense
2495339,2013,BUF,Defense
2525323,2013,MIN,Defense
2532946,2013,TEN,Defense
2535609,2013,SEA,Defense
2495228,2013,CLE,Defense
2532989,2013,MIA,Defense
2541944,2013,TB,Offense
2495229,2013,IND,Defense
2508007,2013,MIN,Defense
2495507,2013,SEA,Defense
1037374,2013,GB,Defense
71461,2013,BAL,Offense
2539296,2013,CAR,Defense
2495341,2013,JAX,Offense
2532947,2013,CAR,Offense
